date,format,startTime,endTime,sessionName,sessionLongName,sessionNumber,sessionTracks,paperID,paperTitle,paperAuthors
2020-11-16,gather,22:00,00:00,Gather Session 1E,Gather Session 1E: Dialog and Interactive Systems,1E,Dialog and Interactive Systems,1012, UniConv: A Unified Conversational Neural Architecture for Multi-domain Task-oriented Dialogues ,"Hung Le, Doyen Sahoo, Chenghao Liu, Nancy Chen and Steven C.H. Hoi"
2020-11-16,gather,22:00,00:00,Gather Session 1E,Gather Session 1E: Dialog and Interactive Systems,1E,Dialog and Interactive Systems,1140, GraphDialog: Integrating Graph Knowledge into End-to-End Task-Oriented Dialogue Systems ,"Shiquan Yang, Sarah Erfani and Rui Zhang"
2020-11-16,gather,22:00,00:00,Gather Session 1E,Gather Session 1E: Dialog and Interactive Systems,1E,Dialog and Interactive Systems,128, Structured Attention for Unsupervised Dialogue Structure Induction ,"Liang Qiu, Yizhou Zhao, Weiyan Shi, Yuan Liang, Feng Shi, Tao Yuan, Zhou Yu and Song-Chun Zhu"
2020-11-16,gather,22:00,00:00,Gather Session 1E,Gather Session 1E: Dialog and Interactive Systems,1E,Dialog and Interactive Systems,1522, Cross Copy Network for Dialogue Generation ,"Changzhen Ji, Xin Zhou, Yating Zhang, Xiaozhong Liu, Changlong Sun, Conghui Zhu and Tiejun Zhao"
2020-11-16,gather,22:00,00:00,Gather Session 1E,Gather Session 1E: Dialog and Interactive Systems,1E,Dialog and Interactive Systems,215, Multi-turn Response Selection using Dialogue Dependency Relations ,"Qi Jia, Yizhu Liu, Siyu Ren, Kenny Zhu and Haifeng Tang"
2020-11-16,gather,22:00,00:00,Gather Session 1E,Gather Session 1E: Dialog and Interactive Systems,1E,Dialog and Interactive Systems,2209, Parallel Interactive Networks for Multi-Domain Dialogue State Generation ,"Junfan Chen, Richong Zhang, Yongyi Mao and Jie Xu"
2020-11-16,gather,22:00,00:00,Gather Session 1E,Gather Session 1E: Dialog and Interactive Systems,1E,Dialog and Interactive Systems,3621, SlotRefine: A Fast Non-Autoregressive Model for Joint Intent Detection and Slot Filling ,"Di Wu, Liang Ding, Fan Lu and Jian Xie"
2020-11-16,gather,22:00,00:00,Gather Session 1F,Gather Session 1F: Computational Social Science and Social Media; NLP Applications,1F,Computational Social Science and Social Media; NLP Applications,1287," Hashtags, Emotions, and Comments: A Large-Scale Dataset to Understand Fine-Grained Social Emotions to Online Topics ","Keyang Ding, Jing Li and Yuji Zhang"
2020-11-16,gather,22:00,00:00,Gather Session 1F,Gather Session 1F: Computational Social Science and Social Media; NLP Applications,1F,Computational Social Science and Social Media; NLP Applications,3298, Named Entity Recognition for Social Media Texts with Semantic Augmentation ,"Yuyang Nie, Yuanhe Tian, Xiang Wan, Yan Song and Bo Dai"
2020-11-16,gather,22:00,00:00,Gather Session 1F,Gather Session 1F: Computational Social Science and Social Media; NLP Applications,1F,Computational Social Science and Social Media; NLP Applications,3408, Coupled Hierarchical Transformer for Stance-Aware Rumor Verification in Social Media Conversations ,"Jianfei Yu, Jing Jiang, Ling Min Serena Khoo, Hai Leong Chieu and Rui Xia"
2020-11-16,gather,22:00,00:00,Gather Session 1F,Gather Session 1F: Computational Social Science and Social Media; NLP Applications,1F,Computational Social Science and Social Media; NLP Applications,3424, Social Media Attributions in the Context of Water Crisis ,"Rupak Sarkar, Sayantan Mahinder, Hirak Sarkar and Ashiqur KhudaBukhsh"
