submissionID,title,authors,track,acceptanceStatus,submissionType
2585,Learning Variational Word Masks to Improve the Interpretability of Neural Text Classifiers,Hanjie Chen and Yangfeng Ji,Interpretability and Analysis of Models for NLP,Accept,Long Paper
2995,Less is More: Attention Supervision with Counterfactuals for Text Classification,"Seungtaek Choi, Haeju Park, Jinyoung Yeo and Seung-won Hwang",NLP Applications,Accept,Long Paper
1862,Let's Stop Error Propagation in the End-to-End Relation Extraction Literature!,"Bruno Taillé, Vincent Guigue, Geoffrey Scoutheeten and patrick Gallinari",Information Extraction,Accept,Long Paper
1267,Leveraging Declarative Knowledge in Text and First-Order Logic for Fine-Grained Propaganda Detection,"Ruize Wang, Duyu Tang, Nan Duan, Wanjun Zhong, Zhongyu Wei, Xuanjing Huang, Daxin Jiang and Ming Zhou","Semantics: Sentence-level Semantics, Textual Inference and Other areas",Accept,Long Paper
1208,Lifelong Language Knowledge Distillation,"Yung-Sung Chuang, Shang-Yu Su and Yun-Nung Chen",Machine Learning for NLP,Accept,Long Paper
2795,"Lightweight, Dynamic Graph Convolutional Networks for AMR-to-Text Generation","Yan Zhang, Zhijiang Guo, Zhiyang Teng, Wei Lu, Shay B. Cohen, ZUOZHU LIU and Lidong Bing",Language Generation,Accept,Long Paper
1797,Like hiking? You probably enjoy nature: Persona-grounded Dialog with Commonsense Expansions,"Bodhisattwa Prasad Majumder, Harsh Jhamtani, Taylor Berg-Kirkpatrick and Julian McAuley",Dialog and Interactive Systems,Accept,Long Paper
865,LNMap: Departures from Isomorphic Assumption in Bilingual Lexicon Induction Through Non-Linear Mapping in Latent Space,"Tasnim Mohiuddin, M Saiful Bari and Shafiq Joty",Machine Translation and Multilinguality,Accept,Long Paper
1046,Local Additivity Based Data Augmentation for Semi-supervised NER,"Jiaao Chen, Zhenghui Wang, Ran Tian, Zichao Yang and Diyi Yang",Machine Learning for NLP,Accept,Long Paper
3597,Localizing Q&A Semantic Parsers for Any Language In a Day,"Mehrad Moradshahi, Giovanni Campagna, Sina Semnani, Silei Xu and Monica Lam",Machine Translation and Multilinguality,Accept,Long Paper
1788,Look at the First Sentence: Position Bias in Question Answering,"Miyoung Ko, Jinhyuk Lee, Hyunjae Kim, Gangwoo Kim and Jaewoo Kang",Question Answering,Accept,Long Paper
618,Losing Heads in the Lottery: Pruning Transformer Attention in Neural Machine Translation,Maximiliana Behnke and Kenneth Heafield,Machine Translation and Multilinguality,Accept,Long Paper
850,Low-Resource Domain Adaptation for Compositional Task-Oriented Semantic Parsing,"Xilun Chen, Asish Ghoshal, Yashar Mehdad, Luke Zettlemoyer and Sonal Gupta",Dialog and Interactive Systems,Accept,Long Paper
911,LUKE: Deep Contextualized Entity Representations with Entity-aware Self-attention,"Ikuya Yamada, Akari Asai, Hiroyuki Shindo, Hideaki Takeda and Yuji Matsumoto",Information Extraction,Accept,Long Paper
1803,MAD-X: An Adapter-based Framework for Multi-task Cross-lingual Transfer,"Jonas Pfeiffer, Ivan Vulić, Iryna Gurevych and Sebastian Ruder",Machine Translation and Multilinguality,Accept,Long Paper
